Local time,Open,High,Low,Close,Volume
07.01.2020 22:00:00.000 GMT-0500,1.11587,1.11591,1.11565,1.11571,1175.7
07.01.2020 22:15:00.000 GMT-0500,1.11573,1.11586,1.11563,1.11571,1489
07.01.2020 22:30:00.000 GMT-0500,1.11571,1.11581,1.11550,1.11553,1034.3700000000001
07.01.2020 22:45:00.000 GMT-0500,1.11554,1.11556,1.11536,1.11546,655.53
07.01.2020 23:00:00.000 GMT-0500,1.11545,1.11557,1.11540,1.11551,548.13
07.01.2020 23:15:00.000 GMT-0500,1.11552,1.11556,1.11504,1.11504,701.44
07.01.2020 23:30:00.000 GMT-0500,1.11505,1.11505,1.11474,1.11478,876.11
07.01.2020 23:45:00.000 GMT-0500,1.11480,1.11482,1.11450,1.11476,1024.6100000000001
08.01.2020 00:00:00.000 GMT-0500,1.11478,1.11492,1.11476,1.11476,1194.59
08.01.2020 00:15:00.000 GMT-0500,1.11475,1.11498,1.11473,1.11494,728.71
08.01.2020 00:30:00.000 GMT-0500,1.11493,1.11513,1.11493,1.11501,738.1
08.01.2020 00:45:00.000 GMT-0500,1.11500,1.11501,1.11480,1.11492,908.4400000000002
08.01.2020 01:00:00.000 GMT-0500,1.11491,1.11510,1.11484,1.11490,921.1500000000001
08.01.2020 01:15:00.000 GMT-0500,1.11490,1.11539,1.11484,1.11530,990.79
08.01.2020 01:30:00.000 GMT-0500,1.11530,1.11533,1.11507,1.11521,822.5200000000001
08.01.2020 01:45:00.000 GMT-0500,1.11522,1.11533,1.11486,1.11500,1189.42
08.01.2020 02:00:00.000 GMT-0500,1.11501,1.11548,1.11457,1.11479,2559.15
08.01.2020 02:15:00.000 GMT-0500,1.11481,1.11508,1.11447,1.11452,2113.4399999999996
08.01.2020 02:30:00.000 GMT-0500,1.11451,1.11517,1.11432,1.11507,2842.5
08.01.2020 02:45:00.000 GMT-0500,1.11508,1.11549,1.11504,1.11511,2320.61
08.01.2020 03:00:00.000 GMT-0500,1.11513,1.11533,1.11315,1.11428,3979.6
08.01.2020 03:15:00.000 GMT-0500,1.11427,1.11440,1.11312,1.11374,5520.8301
08.01.2020 03:30:00.000 GMT-0500,1.11374,1.11374,1.11301,1.11353,3708.7400000000007
08.01.2020 03:45:00.000 GMT-0500,1.11354,1.11374,1.11337,1.11348,2640.209999999999
08.01.2020 04:00:00.000 GMT-0500,1.11349,1.11355,1.11253,1.11267,2977.6900000000005
08.01.2020 04:15:00.000 GMT-0500,1.11267,1.11353,1.11267,1.11352,2172.7599999999998
08.01.2020 04:30:00.000 GMT-0500,1.11352,1.11447,1.11342,1.11416,2526.36
08.01.2020 04:45:00.000 GMT-0500,1.11416,1.11423,1.11380,1.11383,3957.99
08.01.2020 05:00:00.000 GMT-0500,1.11382,1.11385,1.11324,1.11340,3258.6499999999996
08.01.2020 05:15:00.000 GMT-0500,1.11339,1.11348,1.11300,1.11309,2242.77
08.01.2020 05:30:00.000 GMT-0500,1.11308,1.11328,1.11277,1.11328,1852.52
08.01.2020 05:45:00.000 GMT-0500,1.11327,1.11328,1.11254,1.11273,2895.0899999999997
08.01.2020 06:00:00.000 GMT-0500,1.11274,1.11309,1.11269,1.11282,1777.62
08.01.2020 06:15:00.000 GMT-0500,1.11282,1.11299,1.11196,1.11286,3084.6599999999994
08.01.2020 06:30:00.000 GMT-0500,1.11286,1.11305,1.11248,1.11287,2651.1599999999994
08.01.2020 06:45:00.000 GMT-0500,1.11287,1.11311,1.11247,1.11271,5512.5201
08.01.2020 07:00:00.000 GMT-0500,1.11271,1.11307,1.11250,1.11292,2596.6699999999996
08.01.2020 07:15:00.000 GMT-0500,1.11292,1.11304,1.11219,1.11247,2210.26
08.01.2020 07:30:00.000 GMT-0500,1.11248,1.11262,1.11218,1.11226,3186.04
08.01.2020 07:45:00.000 GMT-0500,1.11225,1.11244,1.11139,1.11167,3531.1499999999996
08.01.2020 08:00:00.000 GMT-0500,1.11166,1.11194,1.11123,1.11155,3286.09
08.01.2020 08:15:00.000 GMT-0500,1.11155,1.11179,1.11111,1.11147,4545.52
08.01.2020 08:30:00.000 GMT-0500,1.11147,1.11198,1.11145,1.11160,4032.17
08.01.2020 08:45:00.000 GMT-0500,1.11163,1.11224,1.11156,1.11199,1950.2499999999998
08.01.2020 09:00:00.000 GMT-0500,1.11200,1.11227,1.11176,1.11214,3079.5899999999997
08.01.2020 09:15:00.000 GMT-0500,1.11214,1.11249,1.11200,1.11247,1884.2099999999998
08.01.2020 09:30:00.000 GMT-0500,1.11248,1.11269,1.11176,1.11184,3617.5
08.01.2020 09:45:00.000 GMT-0500,1.11185,1.11254,1.11176,1.11245,2408.4
08.01.2020 10:00:00.000 GMT-0500,1.11244,1.11308,1.11225,1.11301,2379.64
08.01.2020 10:15:00.000 GMT-0500,1.11301,1.11306,1.11222,1.11238,2447.2899999999995
08.01.2020 10:30:00.000 GMT-0500,1.11237,1.11238,1.11158,1.11224,3225.5
08.01.2020 10:45:00.000 GMT-0500,1.11223,1.11226,1.11153,1.11198,3233.1
08.01.2020 11:00:00.000 GMT-0500,1.11197,1.11201,1.11112,1.11138,2292.64
08.01.2020 11:15:00.000 GMT-0500,1.11139,1.11150,1.11087,1.11123,2289.09
08.01.2020 11:30:00.000 GMT-0500,1.11123,1.11169,1.11102,1.11163,4994.960000000001
08.01.2020 11:45:00.000 GMT-0500,1.11164,1.11179,1.11102,1.11164,3912.640000000001
08.01.2020 12:00:00.000 GMT-0500,1.11163,1.11259,1.11155,1.11219,3607.99
08.01.2020 12:15:00.000 GMT-0500,1.11219,1.11233,1.11188,1.11207,2738.73
08.01.2020 12:30:00.000 GMT-0500,1.11208,1.11216,1.11135,1.11145,2326.2299999999996
08.01.2020 12:45:00.000 GMT-0500,1.11144,1.11183,1.11131,1.11180,2225.96
08.01.2020 13:00:00.000 GMT-0500,1.11180,1.11180,1.11104,1.11126,2327.7900000000004
08.01.2020 13:15:00.000 GMT-0500,1.11126,1.11148,1.11111,1.11147,1607.63
08.01.2020 13:30:00.000 GMT-0500,1.11146,1.11158,1.11131,1.11141,1032.69
08.01.2020 13:45:00.000 GMT-0500,1.11141,1.11146,1.11106,1.11131,843.87
08.01.2020 14:00:00.000 GMT-0500,1.11133,1.11140,1.11101,1.11108,963.79
08.01.2020 14:15:00.000 GMT-0500,1.11108,1.11111,1.11081,1.11102,924.3
08.01.2020 14:30:00.000 GMT-0500,1.11105,1.11119,1.11099,1.11103,1008.2
08.01.2020 14:45:00.000 GMT-0500,1.11103,1.11129,1.11098,1.11112,1015.8199999999999
08.01.2020 15:00:00.000 GMT-0500,1.11113,1.11118,1.11097,1.11108,1021.9200000000001
08.01.2020 15:15:00.000 GMT-0500,1.11109,1.11119,1.11104,1.11114,575.5799999999999
08.01.2020 15:30:00.000 GMT-0500,1.11114,1.11119,1.11103,1.11108,573.05
08.01.2020 15:45:00.000 GMT-0500,1.11108,1.11148,1.11106,1.11118,2801.8200000000006
08.01.2020 16:00:00.000 GMT-0500,1.11119,1.11127,1.11081,1.11081,707.47
08.01.2020 16:15:00.000 GMT-0500,1.11084,1.11100,1.11084,1.11093,287.54
08.01.2020 16:30:00.000 GMT-0500,1.11092,1.11094,1.11083,1.11085,266.91999999999996
08.01.2020 16:45:00.000 GMT-0500,1.11085,1.11086,1.11016,1.11053,677.7199999999999
08.01.2020 17:00:00.000 GMT-0500,1.11053,1.11077,1.11033,1.11068,290
08.01.2020 17:15:00.000 GMT-0500,1.11068,1.11146,1.11068,1.11105,307.80000000000007
08.01.2020 17:30:00.000 GMT-0500,1.11104,1.11105,1.11088,1.11100,141.02
08.01.2020 17:45:00.000 GMT-0500,1.11100,1.11131,1.11089,1.11097,312.31
08.01.2020 18:00:00.000 GMT-0500,1.11098,1.11098,1.11071,1.11083,283.28
08.01.2020 18:15:00.000 GMT-0500,1.11085,1.11104,1.11081,1.11102,297.88
08.01.2020 18:30:00.000 GMT-0500,1.11102,1.11115,1.11097,1.11109,402.72999999999996
08.01.2020 18:45:00.000 GMT-0500,1.11109,1.11130,1.11109,1.11129,414.3
08.01.2020 19:00:00.000 GMT-0500,1.11130,1.11144,1.11091,1.11117,1486.6299999999999
08.01.2020 19:15:00.000 GMT-0500,1.11117,1.11134,1.11101,1.11134,910.89
08.01.2020 19:30:00.000 GMT-0500,1.11133,1.11159,1.11133,1.11143,1441.2099999999998
08.01.2020 19:45:00.000 GMT-0500,1.11144,1.11144,1.11122,1.11134,1303.36
08.01.2020 20:00:00.000 GMT-0500,1.11135,1.11149,1.11128,1.11137,920.88
08.01.2020 20:15:00.000 GMT-0500,1.11138,1.11140,1.11110,1.11133,901.57
08.01.2020 20:30:00.000 GMT-0500,1.11132,1.11185,1.11131,1.11184,1439.0299999999997
08.01.2020 20:45:00.000 GMT-0500,1.11184,1.11195,1.11171,1.11174,1210.1499999999999
08.01.2020 21:00:00.000 GMT-0500,1.11173,1.11190,1.11172,1.11188,863.69
08.01.2020 21:15:00.000 GMT-0500,1.11189,1.11189,1.11153,1.11160,796.5600000000002
08.01.2020 21:30:00.000 GMT-0500,1.11161,1.11174,1.11152,1.11154,471.76
08.01.2020 21:45:00.000 GMT-0500,1.11155,1.11159,1.11145,1.11152,722.93
08.01.2020 22:00:00.000 GMT-0500,1.11152,1.11153,1.11141,1.11153,536.4699999999999
08.01.2020 22:15:00.000 GMT-0500,1.11152,1.11163,1.11152,1.11159,600.53
08.01.2020 22:30:00.000 GMT-0500,1.11160,1.11175,1.11159,1.11174,473.31000000000006
08.01.2020 22:45:00.000 GMT-0500,1.11174,1.11179,1.11152,1.11152,761.64
08.01.2020 23:00:00.000 GMT-0500,1.11153,1.11157,1.11130,1.11132,598.4300000000002
08.01.2020 23:15:00.000 GMT-0500,1.11132,1.11138,1.11127,1.11137,366.86999999999995
08.01.2020 23:30:00.000 GMT-0500,1.11138,1.11158,1.11133,1.11158,858.09
08.01.2020 23:45:00.000 GMT-0500,1.11158,1.11158,1.11143,1.11154,362.8
09.01.2020 00:00:00.000 GMT-0500,1.11154,1.11158,1.11151,1.11153,403.63
09.01.2020 00:15:00.000 GMT-0500,1.11153,1.11172,1.11152,1.11168,554.31
09.01.2020 00:30:00.000 GMT-0500,1.11169,1.11175,1.11162,1.11162,427.12
09.01.2020 00:45:00.000 GMT-0500,1.11163,1.11189,1.11161,1.11182,671.3599999999999
09.01.2020 01:00:00.000 GMT-0500,1.11182,1.11190,1.11162,1.11166,930.03
09.01.2020 01:15:00.000 GMT-0500,1.11166,1.11169,1.11147,1.11148,624.03
09.01.2020 01:30:00.000 GMT-0500,1.11147,1.11157,1.11113,1.11121,1210
09.01.2020 01:45:00.000 GMT-0500,1.11120,1.11153,1.11111,1.11123,1597.2599999999998
09.01.2020 02:00:00.000 GMT-0500,1.11123,1.11149,1.11110,1.11132,1918.06
09.01.2020 02:15:00.000 GMT-0500,1.11132,1.11164,1.11125,1.11156,1562.6299999999999
09.01.2020 02:30:00.000 GMT-0500,1.11156,1.11199,1.11147,1.11191,2069.63
09.01.2020 02:45:00.000 GMT-0500,1.11190,1.11204,1.11131,1.11152,2260.19
09.01.2020 03:00:00.000 GMT-0500,1.11152,1.11162,1.11051,1.11071,3028.22
09.01.2020 03:15:00.000 GMT-0500,1.11072,1.11117,1.11067,1.11117,2465.4799999999996
09.01.2020 03:30:00.000 GMT-0500,1.11117,1.11159,1.11105,1.11157,2081.59
09.01.2020 03:45:00.000 GMT-0500,1.11156,1.11177,1.11136,1.11172,2102.9500000000003
09.01.2020 04:00:00.000 GMT-0500,1.11172,1.11190,1.11128,1.11145,2476.3999999999996
09.01.2020 04:15:00.000 GMT-0500,1.11144,1.11144,1.11103,1.11105,2252.01
09.01.2020 04:30:00.000 GMT-0500,1.11104,1.11111,1.11021,1.11039,2817.12
09.01.2020 04:45:00.000 GMT-0500,1.11037,1.11066,1.10984,1.10995,4391.15
09.01.2020 05:00:00.000 GMT-0500,1.10994,1.11021,1.10966,1.11014,2527.5099999999998
09.01.2020 05:15:00.000 GMT-0500,1.11013,1.11039,1.10996,1.11037,1689.26
09.01.2020 05:30:00.000 GMT-0500,1.11038,1.11118,1.11030,1.11108,1834.49
09.01.2020 05:45:00.000 GMT-0500,1.11108,1.11114,1.11083,1.11096,1650.12
09.01.2020 06:00:00.000 GMT-0500,1.11096,1.11126,1.11095,1.11114,1330.99
09.01.2020 06:15:00.000 GMT-0500,1.11115,1.11116,1.11084,1.11100,1884.4399999999996
09.01.2020 06:30:00.000 GMT-0500,1.11101,1.11107,1.11039,1.11039,1332.1899999999996
09.01.2020 06:45:00.000 GMT-0500,1.11038,1.11099,1.11034,1.11046,1608.4399999999998
09.01.2020 07:00:00.000 GMT-0500,1.11045,1.11126,1.11033,1.11120,1808.0400000000002
09.01.2020 07:15:00.000 GMT-0500,1.11120,1.11128,1.11093,1.11110,2224.23
09.01.2020 07:30:00.000 GMT-0500,1.11110,1.11167,1.11110,1.11119,2132.67
09.01.2020 07:45:00.000 GMT-0500,1.11119,1.11157,1.11106,1.11135,2511.2900000000004
09.01.2020 08:00:00.000 GMT-0500,1.11135,1.11143,1.11074,1.11094,2751.4799999999996
09.01.2020 08:15:00.000 GMT-0500,1.11094,1.11121,1.11058,1.11116,2397.9700000000003
09.01.2020 08:30:00.000 GMT-0500,1.11115,1.11141,1.11110,1.11137,1672.3299999999997
09.01.2020 08:45:00.000 GMT-0500,1.11138,1.11173,1.11118,1.11148,2633.4800000000005
09.01.2020 09:00:00.000 GMT-0500,1.11149,1.11149,1.11081,1.11101,3636.71
09.01.2020 09:15:00.000 GMT-0500,1.11101,1.11101,1.11038,1.11063,2446.3900000000003
09.01.2020 09:30:00.000 GMT-0500,1.11062,1.11088,1.11046,1.11082,2588.62
09.01.2020 09:45:00.000 GMT-0500,1.11082,1.11101,1.11074,1.11082,2242.44
09.01.2020 10:00:00.000 GMT-0500,1.11082,1.11107,1.11058,1.11105,2108.81
09.01.2020 10:15:00.000 GMT-0500,1.11105,1.11107,1.11024,1.11063,2275.4100000000003
09.01.2020 10:30:00.000 GMT-0500,1.11062,1.11063,1.10924,1.11002,2875.32
09.01.2020 10:45:00.000 GMT-0500,1.11003,1.11035,1.10944,1.11022,3916.4700000000003
09.01.2020 11:00:00.000 GMT-0500,1.11021,1.11023,1.10947,1.10965,3902.9299999999994
09.01.2020 11:15:00.000 GMT-0500,1.10965,1.10980,1.10935,1.10980,3985.87
09.01.2020 11:30:00.000 GMT-0500,1.10980,1.11032,1.10976,1.11026,1918.8700000000001
09.01.2020 11:45:00.000 GMT-0500,1.11026,1.11061,1.11016,1.11060,1812.2700000000002
09.01.2020 12:00:00.000 GMT-0500,1.11059,1.11081,1.11037,1.11080,3364.4201
09.01.2020 12:15:00.000 GMT-0500,1.11081,1.11097,1.11048,1.11091,1683.4999999999998
09.01.2020 12:30:00.000 GMT-0500,1.11092,1.11113,1.11058,1.11058,1615.67
09.01.2020 12:45:00.000 GMT-0500,1.11058,1.11076,1.11046,1.11046,1170.3200000000002
09.01.2020 13:00:00.000 GMT-0500,1.11046,1.11060,1.11033,1.11053,1529.75
09.01.2020 13:15:00.000 GMT-0500,1.11053,1.11086,1.11050,1.11071,1764.62
09.01.2020 13:30:00.000 GMT-0500,1.11072,1.11082,1.11045,1.11067,2220.0801
09.01.2020 13:45:00.000 GMT-0500,1.11067,1.11079,1.11050,1.11050,886.02
09.01.2020 14:00:00.000 GMT-0500,1.11051,1.11088,1.11049,1.11085,1022.1999999999999
09.01.2020 14:15:00.000 GMT-0500,1.11085,1.11098,1.11081,1.11088,673.57
09.01.2020 14:30:00.000 GMT-0500,1.11089,1.11093,1.11072,1.11081,1022.6100000000001
09.01.2020 14:45:00.000 GMT-0500,1.11080,1.11087,1.11059,1.11061,676.8199999999999
09.01.2020 15:00:00.000 GMT-0500,1.11060,1.11073,1.11050,1.11061,791.1700000000001
09.01.2020 15:15:00.000 GMT-0500,1.11062,1.11072,1.11054,1.11055,690.51
09.01.2020 15:30:00.000 GMT-0500,1.11055,1.11064,1.11044,1.11048,709.5100000000001
09.01.2020 15:45:00.000 GMT-0500,1.11047,1.11065,1.11038,1.11062,990.045
09.01.2020 16:00:00.000 GMT-0500,1.11062,1.11068,1.11044,1.11050,437.63
09.01.2020 16:15:00.000 GMT-0500,1.11050,1.11050,1.11034,1.11038,364.65000000000003
09.01.2020 16:30:00.000 GMT-0500,1.11038,1.11056,1.11038,1.11055,256.43999999999994
09.01.2020 16:45:00.000 GMT-0500,1.11054,1.11069,1.11047,1.11051,405.78
09.01.2020 17:00:00.000 GMT-0500,1.11051,1.11060,1.11028,1.11050,358.3
09.01.2020 17:15:00.000 GMT-0500,1.11050,1.11066,1.11048,1.11050,127.25000000000001
09.01.2020 17:30:00.000 GMT-0500,1.11050,1.11055,1.11045,1.11052,418.5800000000001
09.01.2020 17:45:00.000 GMT-0500,1.11053,1.11066,1.11052,1.11065,113.84
09.01.2020 18:00:00.000 GMT-0500,1.11065,1.11075,1.11063,1.11074,288.6
09.01.2020 18:15:00.000 GMT-0500,1.11075,1.11076,1.11065,1.11070,172.17999999999998
09.01.2020 18:30:00.000 GMT-0500,1.11069,1.11075,1.11063,1.11069,291.21999999999997
09.01.2020 18:45:00.000 GMT-0500,1.11069,1.11093,1.11068,1.11093,237.95
09.01.2020 19:00:00.000 GMT-0500,1.11092,1.11094,1.11067,1.11068,632.4500000000002
09.01.2020 19:15:00.000 GMT-0500,1.11071,1.11073,1.11066,1.11072,372.6
09.01.2020 19:30:00.000 GMT-0500,1.11072,1.11091,1.11063,1.11063,833.9900000000001
09.01.2020 19:45:00.000 GMT-0500,1.11065,1.11079,1.11060,1.11069,767.8
09.01.2020 20:00:00.000 GMT-0500,1.11069,1.11073,1.11059,1.11061,609.89
09.01.2020 20:15:00.000 GMT-0500,1.11061,1.11070,1.11056,1.11062,453.22999999999996
09.01.2020 20:30:00.000 GMT-0500,1.11063,1.11073,1.11046,1.11048,483.3
